StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,definition,BFI_A1,BFI_A2,BFI_A3,BFI_A4,BFI_A5,BFI_A6,BFI_A7,BFI_A8,BFI_A9,BFI_C10,BFI_C11,BFI_C12,BFI_C13,BFI_C14,BFI_C15,BFI_C16,BFI_C17,BFI_C18,BFI_O19,BFI_O20,BFI_O21,BFI_O22,BFI_O23,BFI_O24,BFI_O25,BFI_O26,BFI_O27,BFI_O28,ATT_1_agree_a_little,SSS_1,SSS_2,SSS_3,SSS_4,SSS_5,SSS_6,SSS_7,SSS_8,SSS_9,SSS_10,att_2_2,EASY_1,EASY_2,EASY_3,DEEPCTN_s_1,DEEPCTN_s_2,DEEPCTN_s_3,DEEPCTN_s_4,DEEPCTN_s_5,DEEPCTN_s_6,DEEPCTN_ex_6,DEEPCTN_ex_7,DEEPCTN_ex_8,DEEPCTN_s_7,DEEPCTN_s_8,DEEPCTN_s_9,DEEPCTN_ex_1,DEEPCTN_ex_2,DEEPCTN_ex_3,DEEPCTN_ex_4,DEEPCTN_em_1,DEEPCTN_em_2,DEEPCTN_em_3,DEEPCTN_em_4,DEEPCTN_s_10,DEEPCTN_ex_5,DEEPCTN_m_1,DEEPCTN_m_2,DEEPCTN_m_3,DEEPCTN_m_4,DEEPCTN_m_5,DEEPCTN_m_6,DEEPCTN_em_5,DEEPCTN_em_6,RYFF_1,RYFF_2,RYFF_3,RYFF_4,RYFF_5,RYFF_6,RYFF_7,RYFF_8,RYFF_9,RYFF_10,RYFF_11,RYFF_12,RYFF_13,RYFF_14,RYFF_15,RYFF_16,RYFF_17,RYFF_18,Att_3_stronglydisagree,nature_child,land_child_cat_1,land_child_cat_2,land_child_cat_3,land_child_cat_4,land_child_cat_5,land_child_cat_6,land_child_cat_7,land_child_cat_8,land_child_cat_8_TEXT,land_child_freq,nature_live_now,land_now_cat_1,land_now_cat_2,land_now_cat_3,land_now_cat_4,land_now_cat_5,land_now_cat_6,land_now_cat_7,land_now_cat_8,land_now_cat_8_TEXT,land_now_freq,age,gender,gender_6_TEXT,sex_orientation_1,sex_orientation_2,sex_orientation_3,sex_orientation_4,sex_orientation_5,sex_orientation_6,sex_orientation_7,sex_orientation_8,sex_orientation_9,sex_orientation_10,sex_orientation_11,sex_orientation_12,sex_orientation_13,sex_orientation_14,sex_orientation_15,sex_orientation_14_TEXT,ethnoracial,ethnoracial_mixed_1,ethnoracial_mixed_2,ethnoracial_mixed_3,ethnoracial_mixed_4,ethnoracial_mixed_5,ethnoracial_mixed_6,ethnoracial_mixed_7,ethnoracial_mixed_8,country_born,country_grew_up,age_move_US,college_year,college_year_9_TEXT,major,SES_peers,SES_family,politics_overall,politics_economic,politics_social,subjective_att,id,time,att_1,att_2,att_3,att_total,openness,openness_z,CTN_overall,CTN_overall_z,CTN_Deep,CTN_Deep_z,CTN_Exp,CTN_Exp_z,CTN_Emo,CTN_Emo_z,CTN_Pres,CTN_Pres_z,SES,politics
2023-05-09T19:14:24Z,2023-05-09 12:23:43,0,70.95.172.45,100,558,1,2023-05-09 12:23:44,R_20T2rE35izBqDyX,NA,NA,NA,NA,32.7173,-117.157,anonymous,EN,Nature includes the living part of the world and natural parts of the earth.,3,5,4,4,4,3,5,4,5,5,5,5,1,4,5,5,4,3,3,4,4,4,4,4,2,3,3,3,4,2,1,2,1,1,1,2,2,1,1,2,3,4,3,2,5,2,6,6,4,7,7,7,4,4,7,7,6,4,7,6,6,4,2,5,5,4,3,6,4,3,3,7,2,5,5,6,5,2,2,2,6,6,2,6,7,6,3,4,2,6,6,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,20,Woman,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asian,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,4,NA,15,7,7,6,4,7,1,43795,9.3,1,1,1,3,34,-0.28330592749490285,132,0.6630220770039241,39,0.34765886448286754,50,1.4468605586849548,20,0.1289229978416454,23,-0.023676998455047456,7,5.666666666666667
2023-05-09T22:09:47Z,2023-05-09 15:26:06,0,70.95.188.221,100,978,1,2023-05-09 15:26:06,R_sGO0rBvgqloJ02d,NA,NA,NA,NA,32.7203,-117.1552,anonymous,EN,Anything occurring without help from humans on planet Earth,4,4,1,5,3,2,4,2,2,3,5,4,4,4,3,4,2,4,3,4,3,4,3,4,2,4,5,4,4,2,2,1,1,1,1,2,2,2,1,2,4,3,2,6,5,4,7,7,7,4,3,5,4,6,7,5,6,7,6,7,6,6,5,4,5,6,6,5,5,6,7,7,7,3,4,3,6,6,6,5,3,4,2,4,5,5,5,2,6,6,5,1,3,NA,1,NA,1,1,1,1,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,4,19,Non-binary,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,2,NA,78,6,7,6,4,7,1,41151,16.3,1,1,1,3,36,0.06847678816227526,157,1.48257191742206,50,1.266881660299036,41,0.6061268974283941,31,1.9683095314041343,35,1.4359403180678751,6.5,5.666666666666667
2023-05-09T22:17:48Z,2023-05-09 15:29:30,0,69.196.33.86,100,702,1,2023-05-09 15:29:31,R_1pzkFyC4MiBRVVx,NA,NA,NA,NA,32.7097,-117.1228,anonymous,EN,Organic growth and structures uninterrupted by human interference.,2,5,3,5,5,4,4,3,4,5,1,5,1,2,4,2,5,2,4,5,4,5,3,5,1,4,5,5,4,1,1,2,2,2,1,2,2,1,1,2,3,3,2,7,7,4,6,4,7,7,7,7,7,7,7,7,6,4,7,7,4,5,7,6,7,7,6,7,7,5,7,7,7,4,2,5,3,4,3,2,4,6,5,7,7,7,2,2,3,5,6,1,3,NA,1,1,1,1,1,1,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,Woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Mixed,NA,1,1,NA,NA,NA,NA,NA,188,NA,NA,4,NA,91,5,5,7,7,7,1,32438,11.7,1,1,1,3,41,0.9479335773052204,179,2.2037757769900197,58,1.9354073299835222,52,1.6336902611864126,30,1.8010925738075445,39,1.922479423575516,5,7
2023-05-09T23:10:09Z,2023-05-09 16:37:55,0,75.80.99.41,100,1666,1,2023-05-09 16:37:56,R_1FnOJ1akJIALMjn,NA,NA,NA,NA,32.8425,-117.2484,anonymous,EN,"I think nature is the flowers, plants, animals, and other things outside. It also is our behavior, our DNA, who we are at the core of our souls.",3,3,1,2,5,1,3,3,3,5,3,5,5,1,5,1,5,5,4,5,5,5,5,5,1,5,5,5,4,2,1,2,2,2,1,2,2,2,1,2,2,1,3,1,2,3,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,6,3,1,6,5,4,1,4,4,5,5,1,2,NA,NA,NA,1,1,NA,NA,1,In a valley where I could see the mountains.,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,20,Woman,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,3,NA,16,6,5,2,2,2,1,41913,27.766666666666666,1,1,1,3,45,1.6514990086195767,57,-1.7956274442504834,19,-1.3236553097283477,16,-1.72924438383983,10,-1.5432465781242537,12,-1.36165953860106,5.5,2
2023-05-09T23:36:24Z,2023-05-09 16:47:12,0,128.54.45.82,100,648,1,2023-05-09 16:47:12,R_6MCph4p8RltM3Lz,NA,NA,NA,NA,32.9662,-117.2521,anonymous,EN,"plants, the environment, earth
",2,3,1,2,5,3,3,4,3,4,4,3,4,5,3,3,3,5,3,5,3,4,3,1,2,3,1,2,4,2,1,2,2,2,1,2,2,2,1,2,3,2,3,1,5,1,7,7,1,3,1,1,1,4,1,1,2,2,3,1,4,1,1,1,3,5,1,1,4,1,1,1,2,5,1,1,7,7,4,3,4,4,7,5,7,2,6,4,2,6,7,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,7,2,NA,1,NA,NA,NA,NA,NA,NA,NA,7,21,Man,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,111,188,3,4,NA,78,4,5,5,7,7,1,34013,10.8,1,1,1,3,27,-1.5145454322950263,60,-1.697281463400307,22,-1.0729581835966655,16,-1.72924438383983,9,-1.7104635357208435,13,-1.2400247622241496,4.5,6.333333333333333
2023-05-10T00:08:50Z,2023-05-09 17:17:13,0,107.142.156.152,100,502,1,2023-05-09 17:17:13,R_2rADseqnBCUvTJP,NA,NA,NA,NA,32.7203,-117.1552,anonymous,EN,I would define nature as being anything natural coming from the earth that has not been tampered by human creation,2,5,3,5,4,1,5,4,4,4,4,4,2,2,4,4,4,5,5,5,4,5,4,5,4,5,4,5,4,1,2,2,2,2,1,2,2,2,2,2,5,4,5,6,7,5,7,7,7,6,7,7,4,6,2,5,7,1,6,6,2,1,4,4,5,6,4,5,5,6,6,7,5,7,6,5,2,2,2,3,6,5,1,6,6,6,2,5,7,6,6,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,21,Woman,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,5,NA,13,4,7,6,6,6,1,35842,8.366666666666667,1,1,1,3,46,1.8273903664481657,142,0.9908420131711785,48,1.0997502428779145,44,0.886371451180581,18,-0.2055109173515344,32,1.0710359889371446,5.5,6
2023-05-10T02:07:24Z,2023-05-09 19:21:28,0,69.196.44.144,100,844,1,2023-05-09 19:21:28,R_1mezxsUKAEFl0Br,NA,NA,NA,NA,32.7404,-117.1355,anonymous,EN,things that from the earth and are not man made,2,3,3,2,4,4,2,4,4,5,5,5,4,4,2,4,4,4,3,5,5,5,5,5,1,4,1,3,4,2,1,1,1,2,1,2,2,1,2,2,3,2,2,1,4,1,4,7,3,2,1,1,1,7,1,1,1,7,4,3,3,1,1,2,2,3,2,4,2,2,1,4,1,5,2,3,7,5,6,2,5,5,1,7,6,5,2,5,7,2,6,1,2,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,3,18,Woman,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Mixed,1,NA,1,NA,NA,NA,NA,NA,188,NA,NA,1,NA,95,6,8,4,3,7,1,48625,14.066666666666666,1,1,1,3,37,0.2443681459908643,66,-1.5005895016999544,24,-0.9058267661755439,19,-1.448999830087643,9,-1.7104635357208435,14,-1.1183899858472395,7,4.666666666666667
2023-05-10T02:19:31Z,2023-05-09 19:27:22,0,75.80.150.1,100,470,1,2023-05-09 19:27:22,R_sHWcSc6QoNA08WR,NA,NA,NA,NA,32.7203,-117.1552,anonymous,EN,something that is not man made,2,4,1,3,4,2,4,1,4,5,2,4,1,2,5,4,4,2,2,4,2,2,3,2,3,3,3,2,4,2,1,2,1,2,1,2,2,2,1,2,3,3,4,5,5,4,6,5,3,5,4,4,2,2,1,3,2,7,5,6,5,3,1,3,6,2,2,4,3,1,1,4,3,6,5,3,4,3,3,2,4,5,1,5,5,5,2,3,3,5,6,1,3,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,22,Woman,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,4,NA,50,5,7,4,5,6,1,33446,7.833333333333333,1,1,1,3,26,-1.6904367901236153,98,-0.4515657059647406,31,-0.3208668052016186,36,0.1390526411747493,18,-0.2055109173515344,13,-1.2400247622241496,6,5
2023-05-10T05:10:06Z,2023-05-09 22:35:56,0,76.33.214.13,100,1549,1,2023-05-09 22:35:57,R_1o7GUwKHSZKQIas,NA,NA,NA,NA,32.7203,-117.1552,anonymous,EN,anything not manmade,3,4,1,4,4,2,4,1,4,3,4,4,4,4,4,4,5,4,3,5,2,5,1,4,3,4,2,4,4,2,1,2,1,1,1,2,2,2,1,2,5,4,4,7,5,2,4,7,5,5,4,5,5,4,4,5,4,4,7,7,5,3,2,3,3,7,6,6,7,7,5,7,6,5,4,3,4,5,3,6,3,6,1,5,5,7,2,6,1,5,4,1,2,NA,NA,NA,1,1,NA,NA,NA,NA,6,2,1,1,NA,NA,NA,NA,NA,NA,NA,6,20,Woman,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,2,NA,15,4,3,5,6,7,1,42439,25.816666666666666,1,1,1,3,33,-0.45919728532349186,137,0.8269320450875512,39,0.34765886448286754,37,0.23246749242547826,23,0.6305738706314151,38,1.8008446471986057,3.5,6
2023-05-10T17:15:45Z,2023-05-10 10:27:53,0,128.54.177.180,100,728,1,2023-05-10 10:27:54,R_1pSfiOBc0w9oE79,NA,NA,NA,NA,32.8509,-117.2722,anonymous,EN,Nature is what we are born into. This could mean our environment both at home and the place we live on Earth.,3,5,1,5,5,2,4,2,4,4,3,5,3,3,4,4,5,3,4,5,5,4,3,4,1,5,2,4,4,2,1,2,1,1,2,2,1,1,1,2,3,2,3,3,3,4,2,5,4,4,3,4,4,5,6,4,4,2,4,5,6,1,1,4,3,4,6,5,6,5,7,6,3,6,5,3,6,6,6,2,5,6,4,5,6,7,4,6,4,4,3,1,3,NA,NA,NA,1,1,NA,NA,NA,NA,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,20,Woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,2,NA,78,5,5,6,5,7,1,41054,12.133333333333333,1,1,1,3,37,0.2443681459908643,112,0.007382204669415444,35,0.01339602964062448,28,-0.6082661688310824,16,-0.5399448325447143,33,1.1926707653140547,5,6
